Latitude,Longitude,SNR Percentage
30.2144306,-97.8860319,0.1301084744
30.2144306,-97.8860319,0.1329642402
30.2144306,-97.8860319,0.1245533582
30.2144971,-97.8860432,0.1245533582
30.2144971,-97.8860432,0.1245533582
30.2144971,-97.8860432,0.1301084744
30.2144505,-97.886078,0.1301084744
30.2144505,-97.886078,0.1329642402
30.2144494,-97.8860341,0.1388349935
30.2144812,-97.8860666,0.135872897
30.2144089,-97.8859946,0.1090968212
30.2144089,-97.8859946,0.1388349935
30.2144866,-97.8860875,0.1218528508
30.2144354,-97.8859239,0.1679816149
30.2144354,-97.8859239,0.1512282525
30.2144354,-97.8859239,0.190001566
30.2144354,-97.8859239,0.148047198
30.2142622,-97.8860487,0.1861838279
30.2144354,-97.8859239,0.1679816149
30.2144354,-97.8859239,0.17150477
30.2144354,-97.8859239,0.2314752165
30.2144354,-97.8859239,0.1750862682
30.2144354,-97.8859239,0.2640546061
30.2144354,-97.8859239,0.1512282525
30.2144354,-97.8859239,0.1824255238
30.2144354,-97.8859239,0.148047198
30.2144354,-97.8859239,0.1787264237
30.2144354,-97.8859239,0.1679816149
30.2144354,-97.8859239,0.2994328575
30.2144354,-97.8859239,0.4133824211
30.2144354,-97.8859239,0.4133824211
30.253658,-97.7671591,0.1787264237
30.253658,-97.7671591,0.2738850187
30.2494355,-97.7699296,0.2544533859
30.233085,-97.875283,0.1824255238
30.233085,-97.875283,0.3318122278
30.233085,-97.875283,0.3893607661
30.233085,-97.875283,0.157758687
30.233085,-97.875283,0.2099876266
30.233085,-97.875283,0.2099876266
30.233085,-97.875283,0.3429895373
30.2291321,-97.8854445,0.6513548647
30.2291321,-97.8854445,0.2227001388
30.2291321,-97.8854445,0.3600839033
30.2291321,-97.8854445,0.1449216315
30.2291321,-97.8854445,0.1645164629
30.2339941,-97.9073126,0.4501660027
30.2339941,-97.9073126,0.5621765009
30.2291661,-97.9395773,0.4501660027
30.2291661,-97.9395773,0.4687906266
30.2291661,-97.9395773,0.4501660027
30.215039,-97.9653701,0.2689414214
30.2153293,-98.0841436,0.1245533582
30.2153293,-98.0841436,0.4194576952
30.2153293,-98.0841436,0.6046790847
30.2153293,-98.0841436,0.5986876601
30.286234,-98.0643741,0.6224593312
30.389762,-97.8902908,0.17150477
30.4443156,-97.833117,0.2890504974
30.4443156,-97.833117,0.2544533859
30.4443156,-97.833117,0.1861838279
30.4570613,-97.8244361,0.3100255189
30.4570613,-97.8244361,0.4316800165
30.4570613,-97.8244361,0.2890504974
30.4570613,-97.8244361,0.2994328575
30.4657221,-97.8050775,0.4439861095
30.4657221,-97.8050775,0.2099876266
30.4657221,-97.8050775,0.3153984997
30.4657221,-97.8050775,0.4563613128
30.4657221,-97.8050775,0.1978161114
30.4657221,-97.8050775,0.1824255238
30.4679705,-97.7981398,0.148047198
30.4679705,-97.7981398,0.2018132223
30.2702541,-97.7759956,0.2738850187
30.2575751,-97.7724798,0.3953209153
30.2575751,-97.7724798,0.4255574832
30.2522818,-97.7748136,0.3153984997
30.2522818,-97.7748136,0.4378234991
30.2522818,-97.7748136,0.2450850131
30.2522818,-97.7748136,0.3953209153
30.2522818,-97.7748136,0.4439861095
30.2557055,-97.7690691,0.7685247835
30.2577316,-97.7672101,0.7685247835
30.2577316,-97.7672101,0.7640475998
30.2577316,-97.7672101,0.5866175789
30.2577316,-97.7672101,0.7502601056
30.2577316,-97.7672101,0.7407748992
30.2577316,-97.7672101,0.7549149869
30.2577316,-97.7672101,0.7310585786
30.2577316,-97.7672101,0.7455466141
30.2577316,-97.7672101,0.785834983
30.2577316,-97.7672101,0.7815974639
30.2577316,-97.7672101,0.7981867777
30.2577316,-97.7672101,0.7640475998
